record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,record_atd
51,60.0,87.0,497.0,89.0,1393.0,425.2
116,91.0,73.0,119.0,63.0,4532.0,975.6
462,18.0,51.0,86.0,54.0,4512.0,944.2
730,132.0,110.0,466.0,103.0,4470.0,1056.2
767,62.0,43.0,205.0,91.0,4496.0,979.4
831,111.0,85.0,193.0,92.0,4197.0,935.6
902,67.0,26.0,32.0,30.0,4528.0,936.6
953,14.0,71.0,115.0,60.0,4523.0,956.6
1033,53.0,77.0,378.0,82.0,3836.0,885.2
1180,23.0,78.0,391.0,83.0,4527.0,1020.4
1248,332.0,48.0,513.0,136.0,3095.0,824.8
1356,72.0,65.0,159.0,68.0,4535.0,979.8
1429,485.0,160.0,2134.0,189.0,4272.0,1448.0
1514,153.0,107.0,76.0,111.0,4466.0,982.6
1565,701.0,243.0,3228.0,347.0,3615.0,1626.8
1746,170.0,27.0,36.0,31.0,4406.0,934.0
1881,297.0,5.0,4.0,4.0,847.0,231.4
1994,127.0,91.0,331.0,100.0,1469.0,423.6
2279,81.0,76.0,321.0,78.0,4525.0,1016.2
2496,17.0,55.0,92.0,55.0,4533.0,950.4
2545,6.0,2.0,2.0,2.0,4526.0,907.6
2624,77.0,62.0,166.0,88.0,4504.0,979.4
2740,231.0,121.0,921.0,129.0,4441.0,1168.6
2803,68.0,102.0,1603.0,108.0,3779.0,1132.0
3076,88.0,64.0,184.0,71.0,4483.0,978.0
3314,354.0,98.0,538.0,140.0,4486.0,1123.2
3442,263.0,635.0,1033.0,673.0,1604.0,841.6
3608,101.0,74.0,215.0,77.0,4514.0,996.2
3680,19.0,45.0,66.0,50.0,4522.0,940.4
3769,138.0,38.0,56.0,42.0,4538.0,962.4
3842,13.0,61.0,100.0,56.0,4534.0,952.8
4154,213.0,125.0,336.0,144.0,4508.0,1065.2
4201,129.0,106.0,589.0,113.0,4378.0,1063.0
4269,22.0,68.0,213.0,74.0,4542.0,983.8
4327,128.0,72.0,278.0,70.0,4499.0,1009.4
4377,10.0,83.0,134.0,65.0,3979.0,854.2
4461,50.0,34.0,39.0,35.0,4541.0,939.8
average_simulation_TD,134.48648648648648,91.02702702702703,428.35135135135135,102.78378378378379,4031.2162162162163,
