record_id,td_sim_0,td_sim_1,td_sim_2,record_atd
51,87.0,3920.0,103.0,1370.0
116,73.0,4488.0,175.0,1578.6666666666667
462,51.0,4337.0,74.0,1487.3333333333333
730,110.0,3753.0,194.0,1352.3333333333333
767,43.0,4224.0,93.0,1453.3333333333333
831,85.0,3890.0,192.0,1389.0
902,26.0,3708.0,56.0,1263.3333333333333
953,71.0,3850.0,111.0,1344.0
1033,77.0,3774.0,130.0,1327.0
1180,78.0,3061.0,129.0,1089.3333333333333
1248,48.0,2758.0,91.0,965.6666666666666
1356,65.0,2618.0,105.0,929.3333333333334
1429,160.0,1520.0,176.0,618.6666666666666
1514,107.0,2944.0,118.0,1056.3333333333333
1565,243.0,1287.0,186.0,572.0
1746,27.0,4278.0,57.0,1454.0
1881,5.0,4.0,4.0,4.333333333333333
1994,91.0,4228.0,193.0,1504.0
2279,76.0,3608.0,122.0,1268.6666666666667
2496,55.0,4409.0,117.0,1527.0
2545,2.0,2.0,2.0,2.0
2624,62.0,2561.0,101.0,908.0
2740,121.0,3782.0,142.0,1348.3333333333333
2803,102.0,2619.0,108.0,943.0
3076,64.0,3425.0,106.0,1198.3333333333333
3314,98.0,3506.0,154.0,1252.6666666666667
3442,635.0,3245.0,942.0,1607.3333333333333
3608,74.0,3374.0,126.0,1191.3333333333333
3680,45.0,3613.0,70.0,1242.6666666666667
3769,38.0,4007.0,67.0,1370.6666666666667
3842,61.0,4089.0,107.0,1419.0
4154,125.0,4307.0,207.0,1546.3333333333333
4201,106.0,2238.0,137.0,827.0
4269,68.0,4132.0,127.0,1442.3333333333333
4327,72.0,4283.0,134.0,1496.3333333333333
4377,83.0,3805.0,116.0,1334.6666666666667
4461,34.0,4226.0,64.0,1441.3333333333333
average_simulation_TD,91.02702702702703,3347.9189189189187,138.8108108108108,
