record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,record_atd
51,215.0,463.0,233.0,103.0,4501.0,1103.0
116,185.0,373.0,314.0,175.0,4496.0,1108.6
462,19.0,43.0,100.0,74.0,4540.0,955.2
730,342.0,438.0,778.0,194.0,4403.0,1231.0
767,112.0,98.0,99.0,93.0,2567.0,593.8
831,169.0,240.0,299.0,192.0,4495.0,1079.0
902,39.0,50.0,47.0,56.0,4532.0,944.8
953,167.0,137.0,293.0,111.0,3425.0,826.6
1033,82.0,330.0,146.0,130.0,4520.0,1041.6
1180,164.0,334.0,144.0,129.0,4459.0,1046.0
1248,138.0,101.0,79.0,91.0,4502.0,982.2
1356,106.0,186.0,104.0,105.0,4535.0,1007.2
1429,300.0,571.0,290.0,176.0,4498.0,1167.0
1514,17.0,255.0,215.0,118.0,4503.0,1021.6
1565,385.0,1201.0,1023.0,186.0,4486.0,1456.2
1746,53.0,54.0,49.0,57.0,4471.0,936.8
1881,419.0,4.0,7.0,4.0,3886.0,864.0
1994,444.0,359.0,333.0,193.0,4492.0,1164.2
2279,14.0,366.0,160.0,122.0,4512.0,1034.8
2496,4.0,41.0,132.0,117.0,4508.0,960.4
2545,156.0,2.0,3.0,2.0,4529.0,938.4
2624,133.0,116.0,102.0,101.0,4439.0,978.2
2740,423.0,1068.0,1551.0,142.0,3351.0,1307.0
2803,71.0,193.0,186.0,108.0,4292.0,970.0
3076,131.0,192.0,106.0,106.0,4523.0,1011.6
3314,351.0,1366.0,498.0,154.0,3600.0,1193.8
3442,1186.0,3606.0,3269.0,942.0,2042.0,2209.0
3608,37.0,266.0,143.0,126.0,4525.0,1019.4
3680,98.0,62.0,67.0,70.0,4531.0,965.6
3769,33.0,71.0,68.0,67.0,3894.0,826.6
3842,113.0,156.0,118.0,107.0,4522.0,1003.2
4154,452.0,1171.0,759.0,207.0,4437.0,1405.2
4201,248.0,443.0,163.0,137.0,4480.0,1094.2
4269,114.0,252.0,124.0,127.0,4537.0,1030.8
4327,92.0,272.0,133.0,134.0,4517.0,1029.6
4377,199.0,136.0,302.0,116.0,4458.0,1042.2
4461,36.0,46.0,52.0,64.0,4539.0,947.4
average_simulation_TD,195.86486486486487,407.0810810810811,337.5405405405405,138.8108108108108,4258.027027027027,
