record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,td_sim_20,record_atd
51,101.0,2594.0,109.0,2414.0,729.0,3472.0,1206.0,3777.0,4388.0,1409.0,1409.0,1062.0,2049.0,2290.0,705.0,3985.0,973.0,1010.0,2419.0,497.0,87.0,1746.904761904762
116,1142.0,3596.0,3879.0,983.0,3123.0,1861.0,800.0,4192.0,3255.0,4085.0,4085.0,3420.0,2995.0,3227.0,3490.0,811.0,761.0,2476.0,480.0,119.0,73.0,2326.3333333333335
462,1555.0,1870.0,1132.0,3015.0,3074.0,1814.0,831.0,1483.0,2216.0,1065.0,1065.0,924.0,1542.0,2689.0,2087.0,443.0,473.0,853.0,76.0,86.0,51.0,1349.7142857142858
730,4501.0,2221.0,142.0,2016.0,4328.0,1637.0,1345.0,4193.0,4414.0,1372.0,1372.0,1935.0,2583.0,568.0,1814.0,921.0,323.0,1062.0,3210.0,466.0,110.0,1930.142857142857
767,1864.0,861.0,59.0,2862.0,3179.0,2153.0,712.0,2904.0,4133.0,1181.0,1181.0,3175.0,884.0,2827.0,3204.0,1697.0,3303.0,392.0,958.0,205.0,43.0,1798.904761904762
831,2351.0,1483.0,2423.0,455.0,47.0,472.0,2068.0,654.0,2780.0,4092.0,4092.0,2824.0,2927.0,270.0,1031.0,2552.0,3099.0,258.0,885.0,193.0,85.0,1668.6190476190477
902,2588.0,3725.0,34.0,1518.0,573.0,3199.0,3241.0,2556.0,3660.0,459.0,459.0,154.0,2242.0,392.0,343.0,1611.0,2376.0,131.0,33.0,32.0,26.0,1397.7142857142858
953,278.0,4054.0,2488.0,2117.0,2776.0,479.0,266.0,2016.0,4100.0,3329.0,3329.0,566.0,1210.0,649.0,1276.0,897.0,567.0,1468.0,459.0,115.0,71.0,1548.095238095238
1033,1078.0,2207.0,3427.0,2224.0,2488.0,3243.0,781.0,2951.0,654.0,2020.0,2020.0,4009.0,3859.0,1678.0,3193.0,2768.0,97.0,1856.0,2097.0,378.0,77.0,2052.6190476190477
1180,4357.0,2822.0,3865.0,2630.0,107.0,3475.0,3847.0,85.0,700.0,2384.0,2384.0,2565.0,649.0,3553.0,431.0,2970.0,96.0,1307.0,2010.0,391.0,78.0,1938.3809523809523
