record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
51,3674.0,3339.0,3453.0,560.0,381.0,308.0,242.0,221.0,167.0,144.0,140.0,131.0,226.0,116.0,122.0,102.0,123.0,129.0,89.0,87.0,687.7
116,3327.0,3203.0,3471.0,338.0,264.0,158.0,156.0,126.0,104.0,101.0,108.0,115.0,101.0,79.0,101.0,82.0,92.0,71.0,63.0,73.0,606.65
462,3009.0,2485.0,3157.0,280.0,200.0,115.0,98.0,86.0,81.0,52.0,71.0,89.0,88.0,58.0,72.0,61.0,66.0,63.0,54.0,51.0,511.8
730,3821.0,3428.0,3592.0,444.0,365.0,266.0,303.0,222.0,196.0,188.0,173.0,161.0,160.0,144.0,140.0,112.0,148.0,102.0,103.0,110.0,708.9
767,3179.0,3028.0,3113.0,200.0,118.0,197.0,86.0,178.0,154.0,130.0,96.0,87.0,142.0,101.0,65.0,71.0,72.0,100.0,91.0,43.0,562.55
831,3401.0,2938.0,3284.0,320.0,249.0,200.0,151.0,170.0,148.0,125.0,106.0,123.0,132.0,98.0,118.0,96.0,90.0,109.0,92.0,85.0,601.75
902,3477.0,2690.0,3060.0,133.0,83.0,77.0,55.0,53.0,41.0,60.0,39.0,44.0,48.0,32.0,41.0,29.0,31.0,28.0,30.0,26.0,503.85
953,3258.0,2900.0,3272.0,317.0,247.0,149.0,142.0,110.0,94.0,97.0,105.0,111.0,97.0,77.0,97.0,80.0,89.0,67.0,60.0,71.0,572.0
1033,2649.0,3105.0,2925.0,467.0,343.0,302.0,224.0,194.0,158.0,139.0,131.0,126.0,178.0,104.0,112.0,99.0,103.0,90.0,82.0,77.0,580.4
1180,2568.0,3068.0,2923.0,464.0,344.0,305.0,225.0,193.0,162.0,141.0,134.0,127.0,179.0,105.0,113.0,100.0,104.0,91.0,83.0,78.0,575.35
1248,3077.0,3309.0,3494.0,551.0,394.0,351.0,285.0,265.0,246.0,177.0,87.0,93.0,139.0,122.0,88.0,74.0,83.0,134.0,136.0,48.0,657.65
1356,3282.0,3085.0,3255.0,349.0,257.0,242.0,177.0,173.0,140.0,121.0,110.0,108.0,123.0,91.0,100.0,92.0,87.0,78.0,68.0,65.0,600.15
1429,4255.0,3714.0,3738.0,1361.0,1091.0,787.0,693.0,548.0,443.0,402.0,348.0,312.0,331.0,281.0,250.0,203.0,222.0,200.0,189.0,160.0,976.4
1514,3736.0,3376.0,3430.0,670.0,554.0,421.0,349.0,314.0,286.0,174.0,220.0,172.0,145.0,150.0,147.0,116.0,158.0,111.0,111.0,107.0,737.35
1565,4295.0,1921.0,3716.0,1703.0,1462.0,1191.0,1111.0,987.0,872.0,723.0,773.0,667.0,756.0,616.0,543.0,500.0,485.0,400.0,347.0,243.0,1165.55
1746,3485.0,2706.0,3075.0,135.0,85.0,79.0,56.0,55.0,43.0,62.0,41.0,45.0,49.0,34.0,42.0,30.0,33.0,30.0,31.0,27.0,507.15
1881,1016.0,1181.0,68.0,62.0,43.0,16.0,13.0,14.0,9.0,5.0,12.0,7.0,10.0,11.0,9.0,7.0,4.0,5.0,4.0,5.0,125.05
1994,3348.0,857.0,3541.0,397.0,301.0,220.0,182.0,157.0,131.0,131.0,164.0,169.0,126.0,162.0,153.0,135.0,128.0,131.0,100.0,91.0,531.2
2279,2718.0,2995.0,2866.0,427.0,303.0,280.0,207.0,192.0,152.0,133.0,124.0,124.0,182.0,103.0,110.0,98.0,102.0,89.0,78.0,76.0,567.95
2496,3112.0,2353.0,3357.0,303.0,299.0,141.0,129.0,92.0,92.0,44.0,79.0,98.0,95.0,66.0,80.0,62.0,77.0,64.0,55.0,55.0,532.65
2545,1178.0,1698.0,65.0,60.0,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,153.55
2624,3376.0,2964.0,3237.0,240.0,199.0,195.0,145.0,169.0,141.0,122.0,101.0,97.0,124.0,92.0,94.0,86.0,82.0,82.0,88.0,62.0,584.8
2740,1312.0,2077.0,885.0,596.0,517.0,432.0,363.0,289.0,291.0,233.0,214.0,214.0,269.0,171.0,161.0,144.0,153.0,132.0,129.0,121.0,435.15
