record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,td_sim_20,record_atd
51,4434.0,2753.0,4654.0,4125.0,3906.0,413.0,3731.0,3790.0,3640.0,309.0,309.0,3183.0,191.0,2941.0,3081.0,2821.0,2971.0,2676.0,3044.0,2883.0,1642.0,2737.9523809523807
116,4928.0,2763.0,4768.0,2814.0,3978.0,99.0,3860.0,3772.0,3757.0,142.0,142.0,2408.0,84.0,3059.0,3207.0,3005.0,2209.0,2833.0,3046.0,2926.0,1669.0,2641.3809523809523
462,5265.0,89.0,4724.0,3987.0,3857.0,67.0,3779.0,3653.0,2741.0,84.0,84.0,3168.0,52.0,2995.0,1412.0,2822.0,2949.0,2760.0,2961.0,2877.0,1636.0,2474.3809523809523
730,4456.0,2995.0,5193.0,3460.0,2989.0,163.0,2521.0,2870.0,2616.0,218.0,218.0,3552.0,140.0,2003.0,2473.0,3277.0,3396.0,1794.0,1375.0,3226.0,1709.0,2411.6190476190477
767,5143.0,2530.0,4617.0,3982.0,3707.0,217.0,3697.0,3664.0,3498.0,110.0,110.0,3177.0,58.0,2844.0,2947.0,2792.0,2942.0,2652.0,2920.0,2856.0,1474.0,2663.6666666666665
831,4973.0,124.0,4740.0,4187.0,3946.0,171.0,3804.0,3744.0,3672.0,124.0,124.0,3265.0,80.0,3024.0,3097.0,2921.0,3072.0,2768.0,2968.0,2885.0,1680.0,2636.6190476190477
902,5151.0,2301.0,4468.0,3766.0,3567.0,227.0,3636.0,3618.0,55.0,30.0,30.0,3031.0,115.0,2672.0,2804.0,2674.0,2804.0,2696.0,2860.0,2794.0,1614.0,2424.4285714285716
953,5127.0,116.0,4761.0,4194.0,3943.0,101.0,3817.0,3749.0,3687.0,134.0,134.0,3272.0,82.0,3050.0,3193.0,2966.0,3085.0,2771.0,2987.0,2923.0,1681.0,2655.8571428571427
1033,4945.0,2680.0,4783.0,1210.0,14.0,18.0,3844.0,3831.0,3784.0,284.0,284.0,3232.0,32.0,3133.0,444.0,458.0,15.0,135.0,3130.0,3028.0,1651.0,1949.2857142857142
1180,4947.0,2677.0,4368.0,3842.0,33.0,14.0,8.0,32.0,11.0,286.0,286.0,3055.0,24.0,45.0,2867.0,2563.0,12.0,2313.0,48.0,2642.0,1644.0,1510.3333333333333
