record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
51,4645.0,877.0,3508.0,2762.0,3969.0,1563.0,701.0,1488.0,358.0,3770.0,2018.0,320.0,3127.0,5195.0,4252.0,2122.0,2278.0,1285.0,3448.0,1642.0,2466.4
116,3912.0,1488.0,4869.0,3496.0,3817.0,2615.0,3186.0,3162.0,5207.0,2280.0,1676.0,3299.0,2757.0,4594.0,1349.0,850.0,4649.0,3853.0,2570.0,1669.0,3064.9
462,4873.0,4988.0,4261.0,4385.0,2019.0,2306.0,3358.0,2269.0,4160.0,836.0,2748.0,4846.0,2745.0,3477.0,4378.0,1312.0,828.0,4802.0,1360.0,1636.0,3079.35
730,1728.0,2803.0,3023.0,1974.0,1928.0,4972.0,3382.0,3159.0,4314.0,891.0,2403.0,369.0,4115.0,4150.0,1973.0,2604.0,3700.0,3379.0,4344.0,1709.0,2846.0
767,1568.0,88.0,2161.0,2211.0,4889.0,2499.0,2921.0,2852.0,4270.0,3813.0,3774.0,1202.0,105.0,2813.0,3914.0,1891.0,400.0,2316.0,3192.0,1474.0,2417.65
831,2812.0,31.0,2680.0,2604.0,2338.0,2897.0,4621.0,3368.0,4287.0,5080.0,3127.0,2227.0,412.0,5193.0,994.0,1802.0,2898.0,4434.0,4768.0,1680.0,2912.65
902,5194.0,3650.0,3731.0,34.0,1224.0,3994.0,1896.0,764.0,5243.0,4818.0,1941.0,3562.0,1504.0,1112.0,4173.0,515.0,1603.0,1580.0,836.0,1614.0,2449.4
953,432.0,496.0,2740.0,261.0,64.0,2141.0,1484.0,1225.0,3780.0,1561.0,3792.0,4344.0,3452.0,665.0,5144.0,1008.0,241.0,3012.0,2106.0,1681.0,1981.45
1033,2654.0,5239.0,3121.0,4391.0,2.0,1289.0,638.0,3096.0,825.0,4810.0,132.0,2524.0,1539.0,2517.0,2906.0,4522.0,2718.0,1108.0,423.0,1651.0,2305.25
1180,2600.0,2988.0,4678.0,4583.0,3893.0,3469.0,3813.0,4255.0,760.0,3743.0,313.0,5192.0,2753.0,4243.0,1519.0,3727.0,3456.0,791.0,2980.0,1644.0,3070.0
1248,4124.0,214.0,635.0,111.0,4628.0,823.0,800.0,4893.0,664.0,3689.0,4494.0,3410.0,1861.0,3241.0,3670.0,2177.0,3165.0,214.0,2849.0,1702.0,2368.2
1356,1718.0,349.0,1331.0,1972.0,4722.0,1530.0,1639.0,3668.0,1391.0,1118.0,1593.0,4836.0,4441.0,685.0,2890.0,1482.0,3675.0,4673.0,4600.0,1672.0,2499.25
1429,4756.0,3867.0,618.0,1639.0,2963.0,863.0,4047.0,1667.0,1306.0,1494.0,1662.0,972.0,2112.0,4687.0,4361.0,4707.0,3016.0,619.0,2243.0,1634.0,2461.65
1514,4354.0,2489.0,4297.0,3145.0,92.0,3393.0,3824.0,2207.0,3497.0,214.0,290.0,473.0,4428.0,904.0,778.0,1314.0,4241.0,4606.0,4761.0,1691.0,2549.9
1554,3648.0,1183.0,5258.0,100.0,72.0,2265.0,2393.0,4266.0,2717.0,1981.0,1133.0,3451.0,1176.0,941.0,4199.0,1044.0,2194.0,1040.0,3707.0,1690.0,2222.9
1565,2116.0,100.0,2187.0,1917.0,2067.0,1615.0,2702.0,3371.0,156.0,4722.0,473.0,878.0,4977.0,2546.0,170.0,2612.0,5100.0,2384.0,3356.0,1778.0,2261.35
1746,5028.0,865.0,2915.0,409.0,1715.0,79.0,3774.0,4078.0,1173.0,3403.0,3608.0,4096.0,3503.0,5040.0,4683.0,3379.0,2138.0,2860.0,2496.0,1616.0,2842.9
1881,5244.0,352.0,102.0,3127.0,974.0,223.0,4253.0,3499.0,3143.0,1253.0,839.0,2720.0,142.0,1637.0,4124.0,1685.0,1212.0,2173.0,3722.0,1605.0,2101.45
1994,2720.0,3336.0,462.0,2487.0,3388.0,3738.0,2626.0,4797.0,1963.0,173.0,2656.0,1529.0,1453.0,2908.0,4057.0,1192.0,4059.0,4211.0,4646.0,1676.0,2703.85
2279,3861.0,790.0,2131.0,2784.0,4952.0,598.0,4315.0,793.0,1325.0,1696.0,1904.0,2463.0,3838.0,1726.0,1323.0,309.0,4791.0,4917.0,4657.0,1654.0,2541.35
2496,4847.0,3542.0,1053.0,2021.0,2091.0,1223.0,3878.0,4554.0,936.0,4525.0,3144.0,4180.0,329.0,3409.0,4145.0,75.0,144.0,2787.0,3399.0,1675.0,2597.85
2545,2123.0,2072.0,3541.0,4422.0,5189.0,314.0,4792.0,4899.0,3944.0,606.0,580.0,397.0,4476.0,590.0,2878.0,3676.0,559.0,868.0,3436.0,1604.0,2548.3
2624,1628.0,572.0,81.0,2290.0,3559.0,2486.0,3182.0,5163.0,1462.0,3728.0,4310.0,3420.0,189.0,3085.0,4707.0,1228.0,5105.0,389.0,2021.0,1640.0,2512.25
2740,2857.0,1014.0,230.0,4538.0,4397.0,4305.0,1773.0,4610.0,4182.0,3777.0,4349.0,2582.0,2037.0,4635.0,4906.0,3868.0,908.0,4741.0,1796.0,1657.0,3158.1
2803,3271.0,128.0,3004.0,4279.0,2126.0,4840.0,4690.0,1922.0,2036.0,2488.0,3751.0,4122.0,2431.0,2579.0,2049.0,1805.0,409.0,1899.0,1309.0,1707.0,2542.25
3076,2618.0,2592.0,4320.0,3869.0,1759.0,5227.0,729.0,3634.0,2863.0,299.0,1013.0,708.0,3792.0,89.0,4610.0,5058.0,1744.0,679.0,221.0,1674.0,2374.9
