record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
51,7865.0,5036.0,7060.0,6450.0,1058.0,5102.0,5034.0,3978.0,4144.0,4104.0,4404.0,4235.0,3360.0,3586.0,3103.0,3035.0,2795.0,2589.0,2382.0,1036.0,4017.8
116,7068.0,7007.0,6647.0,5915.0,6912.0,4842.0,4745.0,3821.0,3912.0,3958.0,4339.0,4096.0,3226.0,3418.0,2916.0,2898.0,2632.0,2419.0,2217.0,982.0,4198.5
462,7087.0,6771.0,6661.0,5966.0,6628.0,4748.0,4718.0,3818.0,3893.0,3928.0,4292.0,4056.0,3223.0,3391.0,2878.0,2891.0,2617.0,2421.0,2211.0,977.0,4158.75
730,8314.0,7575.0,7242.0,6664.0,7305.0,5416.0,303.0,587.0,654.0,613.0,4590.0,4432.0,822.0,3830.0,3282.0,3241.0,2981.0,2799.0,1540.0,1068.0,3662.9
767,7571.0,6845.0,7010.0,6362.0,6818.0,3132.0,4949.0,3964.0,4065.0,4083.0,4305.0,4151.0,3296.0,3487.0,2871.0,2999.0,2699.0,2535.0,2322.0,1013.0,4223.85
831,7543.0,6902.0,6927.0,6423.0,6873.0,4929.0,4907.0,3953.0,4062.0,4081.0,4368.0,4164.0,3305.0,3491.0,2949.0,2990.0,2718.0,2525.0,2333.0,1025.0,4323.4
902,7599.0,5152.0,6566.0,6383.0,6763.0,4613.0,4960.0,3934.0,4100.0,4067.0,4261.0,4179.0,3288.0,3517.0,2829.0,3021.0,2726.0,2539.0,2281.0,1018.0,4189.8
953,7383.0,6948.0,6707.0,6055.0,6849.0,4879.0,4795.0,3843.0,3945.0,3946.0,4329.0,4080.0,3220.0,3402.0,2912.0,2888.0,2624.0,2423.0,2214.0,992.0,4221.7
1033,1951.0,1353.0,6991.0,6242.0,7054.0,5089.0,4986.0,3997.0,248.0,4037.0,507.0,1024.0,844.0,613.0,1070.0,734.0,815.0,2574.0,2029.0,954.0,2655.6
1180,6968.0,5318.0,6858.0,6178.0,6547.0,4785.0,4656.0,3627.0,3705.0,3784.0,4066.0,3808.0,2959.0,3143.0,2714.0,2686.0,2464.0,2340.0,2045.0,946.0,3979.85
1248,6663.0,6630.0,6538.0,5743.0,6679.0,4427.0,4612.0,3801.0,3848.0,3995.0,4222.0,4123.0,3200.0,3465.0,2857.0,2828.0,2583.0,2399.0,2143.0,983.0,4086.95
1356,7152.0,6820.0,6727.0,6019.0,6611.0,4740.0,4715.0,3855.0,3961.0,3926.0,4322.0,4053.0,3236.0,3387.0,2978.0,2881.0,2611.0,2424.0,2204.0,988.0,4180.5
1429,8643.0,7687.0,7340.0,6812.0,7381.0,5403.0,5260.0,4172.0,4356.0,4286.0,4564.0,4383.0,3509.0,3725.0,3206.0,3158.0,2863.0,2649.0,2410.0,1153.0,4648.0
1514,7239.0,6970.0,6751.0,6020.0,6577.0,4814.0,4763.0,3764.0,3787.0,3873.0,4324.0,4025.0,3183.0,3341.0,2973.0,2758.0,2603.0,2437.0,2203.0,998.0,4170.15
1554,7476.0,7075.0,6872.0,6314.0,6121.0,5042.0,4898.0,3931.0,4041.0,4057.0,4396.0,4157.0,3312.0,3536.0,3051.0,79.0,2764.0,2519.0,2356.0,1031.0,4151.4
1565,8870.0,7806.0,7464.0,6910.0,7473.0,5695.0,5476.0,4596.0,4601.0,4578.0,4878.0,4642.0,3835.0,4033.0,3616.0,3581.0,3176.0,2780.0,2537.0,1236.0,4889.15
1746,7612.0,371.0,981.0,6394.0,6785.0,691.0,4966.0,1483.0,4103.0,1811.0,1750.0,4183.0,1975.0,3520.0,2304.0,3027.0,2733.0,2544.0,2290.0,1019.0,3027.1
1881,2682.0,7748.0,7578.0,782.0,2399.0,5529.0,5300.0,4461.0,2870.0,4435.0,4736.0,4497.0,3788.0,3802.0,3257.0,2224.0,1835.0,2108.0,2575.0,1076.0,3684.1
1994,7041.0,7109.0,6732.0,5931.0,7028.0,4952.0,4824.0,3869.0,3950.0,3960.0,4356.0,4097.0,3234.0,3417.0,2936.0,2900.0,2635.0,2438.0,2220.0,995.0,4231.2
