record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
51,7292.0,1727.0,2886.0,5955.0,4264.0,7112.0,2255.0,8276.0,9402.0,9014.0,3588.0,8283.0,1089.0,494.0,4446.0,8197.0,3150.0,5908.0,5040.0,1036.0,4970.7
116,5651.0,2698.0,4584.0,7782.0,571.0,8721.0,85.0,4967.0,5887.0,3530.0,8127.0,7571.0,1050.0,1325.0,1977.0,3998.0,1616.0,3833.0,1937.0,982.0,3844.6
462,631.0,7912.0,5130.0,340.0,7267.0,6199.0,1220.0,8757.0,9071.0,2066.0,8872.0,7856.0,7808.0,7681.0,5123.0,560.0,4938.0,3278.0,2629.0,977.0,4915.75
730,3033.0,5151.0,5106.0,6703.0,5050.0,3117.0,1210.0,6220.0,6872.0,2351.0,8542.0,6511.0,7185.0,4037.0,4074.0,121.0,2596.0,2774.0,7223.0,1068.0,4447.2
767,2292.0,1118.0,1258.0,4487.0,5198.0,9140.0,4358.0,5168.0,712.0,5249.0,4386.0,8024.0,5715.0,1342.0,7467.0,1383.0,6627.0,6011.0,3314.0,1013.0,4213.1
831,6215.0,2762.0,1862.0,878.0,264.0,5792.0,2181.0,8255.0,8599.0,7072.0,3311.0,1330.0,5578.0,569.0,7756.0,4678.0,7212.0,475.0,4572.0,1025.0,4019.3
902,6438.0,17.0,8092.0,328.0,6410.0,569.0,5213.0,5801.0,6022.0,5168.0,2013.0,8631.0,4390.0,312.0,7811.0,7460.0,4942.0,3119.0,1799.0,1018.0,4277.65
953,5422.0,401.0,4100.0,215.0,1686.0,3321.0,4327.0,3489.0,962.0,8979.0,6547.0,8114.0,8601.0,5740.0,1779.0,4529.0,6023.0,4888.0,3738.0,992.0,4192.65
1033,1973.0,1679.0,4161.0,8266.0,2178.0,1947.0,9097.0,8370.0,7608.0,9313.0,6869.0,7382.0,1040.0,3528.0,7208.0,6593.0,4734.0,6637.0,1697.0,954.0,5061.7
1180,6606.0,9107.0,6455.0,8380.0,8661.0,5578.0,6945.0,7370.0,704.0,7397.0,8347.0,4079.0,1578.0,2930.0,2815.0,3358.0,2354.0,4857.0,743.0,946.0,4960.5
1248,1086.0,6912.0,264.0,4934.0,3161.0,6783.0,6321.0,2395.0,6087.0,6416.0,8812.0,81.0,3678.0,7518.0,7105.0,4406.0,3496.0,1180.0,2828.0,983.0,4222.3
1356,8237.0,6713.0,1348.0,2532.0,6172.0,4286.0,1575.0,4251.0,4504.0,2683.0,6333.0,1342.0,1457.0,4256.0,4069.0,5446.0,2794.0,3730.0,3767.0,988.0,3824.15
1429,2991.0,1719.0,249.0,4884.0,707.0,7289.0,1708.0,875.0,6574.0,1885.0,4533.0,5769.0,6289.0,8207.0,7575.0,4730.0,1045.0,5145.0,5224.0,1153.0,3927.55
1514,1772.0,8110.0,3855.0,7725.0,5319.0,1228.0,723.0,3327.0,5297.0,1989.0,3332.0,3499.0,8363.0,3731.0,650.0,3518.0,5641.0,3061.0,4313.0,998.0,3822.55
1554,5115.0,165.0,6046.0,8687.0,9287.0,2535.0,7447.0,772.0,1132.0,8449.0,2711.0,6461.0,2519.0,5656.0,6327.0,3735.0,3210.0,4577.0,4539.0,1031.0,4520.05
